39, State-gov,77516, Bachelors,13, Never-married, Adm-clerical, Not-in-family
50, Self-emp-not-inc,83311, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband
38, Private,215646, HS-grad,9, Divorced, Handlers-cleaners, Not-in-family
53, Private,234721, 11th,7, Married-civ-spouse, Handlers-cleaners, Husband
28, Private,338409, Bachelors,13, Married-civ-spouse, Prof-specialty, Wife
37, Private,284582, Masters,14, Married-civ-spouse, Exec-managerial, Wife
49, Private,160187, 9th,5, Married-spouse-absent, Other-service, Not-in-family
52, Self-emp-not-inc,209642, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband
31, Private,45781, Masters,14, Never-married, Prof-specialty, Not-in-family
42, Private,159449, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband
37, Private,280464, Some-college,10, Married-civ-spouse, Exec-managerial, Husband
30, State-gov,141297, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband
23, Private,122272, Bachelors,13, Never-married, Adm-clerical, Own-child
32, Private,205019, Assoc-acdm,12, Never-married, Sales, Not-in-family
40, Private,121772, Assoc-voc,11, Married-civ-spouse, Craft-repair, Husband
34, Private,245487, 7th-8th,4, Married-civ-spouse, Transport-moving, Husband
25, Self-emp-not-inc,176756, HS-grad,9, Never-married, Farming-fishing, Own-child
32, Private,186824, HS-grad,9, Never-married, Machine-op-inspct, Unmarried
38, Private,28887, 11th,7, Married-civ-spouse, Sales, Husband
43, Self-emp-not-inc,292175, Masters,14, Divorced, Exec-managerial, Unmarried
40, Private,193524, Doctorate,16, Married-civ-spouse, Prof-specialty, Husband
54, Private,302146, HS-grad,9, Separated, Other-service, Unmarried
35, Federal-gov,76845, 9th,5, Married-civ-spouse, Farming-fishing, Husband
43, Private,117037, 11th,7, Married-civ-spouse, Transport-moving, Husband
59, Private,109015, HS-grad,9, Divorced, Tech-support, Unmarried
56, Local-gov,216851, Bachelors,13, Married-civ-spouse, Tech-support, Husband
19, Private,168294, HS-grad,9, Never-married, Craft-repair, Own-child
54, ?,180211, Some-college,10, Married-civ-spouse, ?, Husband
39, Private,367260, HS-grad,9, Divorced, Exec-managerial, Not-in-family
49, Private,193366, HS-grad,9, Married-civ-spouse, Craft-repair, Husband
23, Local-gov,190709, Assoc-acdm,12, Never-married, Protective-serv, Not-in-family
20, Private,266015, Some-college,10, Never-married, Sales, Own-child
45, Private,386940, Bachelors,13, Divorced, Exec-managerial, Own-child
30, Federal-gov,59951, Some-college,10, Married-civ-spouse, Adm-clerical, Own-child
22, State-gov,311512, Some-college,10, Married-civ-spouse, Other-service, Husband
48, Private,242406, 11th,7, Never-married, Machine-op-inspct, Unmarried
21, Private,197200, Some-college,10, Never-married, Machine-op-inspct, Own-child
19, Private,544091, HS-grad,9, Married-AF-spouse, Adm-clerical, Wife
31, Private,84154, Some-college,10, Married-civ-spouse, Sales, Husband
48, Self-emp-not-inc,265477, Assoc-acdm,12, Married-civ-spouse, Prof-specialty, Husband
31, Private,507875, 9th,5, Married-civ-spouse, Machine-op-inspct, Husband
53, Self-emp-not-inc,88506, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband
24, Private,172987, Bachelors,13, Married-civ-spouse, Tech-support, Husband
49, Private,94638, HS-grad,9, Separated, Adm-clerical, Unmarried
25, Private,289980, HS-grad,9, Never-married, Handlers-cleaners, Not-in-family
57, Federal-gov,337895, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband
53, Private,144361, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband
44, Private,128354, Masters,14, Divorced, Exec-managerial, Unmarried
41, State-gov,101603, Assoc-voc,11, Married-civ-spouse, Craft-repair, Husband
29, Private,271466, Assoc-voc,11, Never-married, Prof-specialty, Not-in-family
25, Private,32275, Some-college,10, Married-civ-spouse, Exec-managerial, Wife
18, Private,226956, HS-grad,9, Never-married, Other-service, Own-child
47, Private,51835, Prof-school,15, Married-civ-spouse, Prof-specialty, Wife
50, Federal-gov,251585, Bachelors,13, Divorced, Exec-managerial, Not-in-family
47, Self-emp-inc,109832, HS-grad,9, Divorced, Exec-managerial, Not-in-family
43, Private,237993, Some-college,10, Married-civ-spouse, Tech-support, Husband
46, Private,216666, 5th-6th,3, Married-civ-spouse, Machine-op-inspct, Husband
35, Private,56352, Assoc-voc,11, Married-civ-spouse, Other-service, Husband
41, Private,147372, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband
30, Private,188146, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband
30, Private,59496, Bachelors,13, Married-civ-spouse, Sales, Husband
32, ?,293936, 7th-8th,4, Married-spouse-absent, ?, Not-in-family
48, Private,149640, HS-grad,9, Married-civ-spouse, Transport-moving, Husband
42, Private,116632, Doctorate,16, Married-civ-spouse, Prof-specialty, Husband
29, Private,105598, Some-college,10, Divorced, Tech-support, Not-in-family
36, Private,155537, HS-grad,9, Married-civ-spouse, Craft-repair, Husband
28, Private,183175, Some-college,10, Divorced, Adm-clerical, Not-in-family
53, Private,169846, HS-grad,9, Married-civ-spouse, Adm-clerical, Wife
49, Self-emp-inc,191681, Some-college,10, Married-civ-spouse, Exec-managerial, Husband
25, ?,200681, Some-college,10, Never-married, ?, Own-child
19, Private,101509, Some-college,10, Never-married, Prof-specialty, Own-child
31, Private,309974, Bachelors,13, Separated, Sales, Own-child
29, Self-emp-not-inc,162298, Bachelors,13, Married-civ-spouse, Sales, Husband
23, Private,211678, Some-college,10, Never-married, Machine-op-inspct, Not-in-family
79, Private,124744, Some-college,10, Married-civ-spouse, Prof-specialty, Other-relative
27, Private,213921, HS-grad,9, Never-married, Other-service, Own-child
40, Private,32214, Assoc-acdm,12, Married-civ-spouse, Adm-clerical, Husband
67, ?,212759, 10th,6, Married-civ-spouse, ?, Husband
18, Private,309634, 11th,7, Never-married, Other-service, Own-child
31, Local-gov,125927, 7th-8th,4, Married-civ-spouse, Farming-fishing, Husband
18, Private,446839, HS-grad,9, Never-married, Sales, Not-in-family
52, Private,276515, Bachelors,13, Married-civ-spouse, Other-service, Husband
46, Private,51618, HS-grad,9, Married-civ-spouse, Other-service, Wife
59, Private,159937, HS-grad,9, Married-civ-spouse, Sales, Husband
44, Private,343591, HS-grad,9, Divorced, Craft-repair, Not-in-family
53, Private,346253, HS-grad,9, Divorced, Sales, Own-child
49, Local-gov,268234, HS-grad,9, Married-civ-spouse, Protective-serv, Husband
33, Private,202051, Masters,14, Married-civ-spouse, Prof-specialty, Husband
30, Private,54334, 9th,5, Never-married, Sales, Not-in-family
43, Federal-gov,410867, Doctorate,16, Never-married, Prof-specialty, Not-in-family
57, Private,249977, Assoc-voc,11, Married-civ-spouse, Prof-specialty, Husband
37, Private,286730, Some-college,10, Divorced, Craft-repair, Unmarried
28, Private,212563, Some-college,10, Divorced, Machine-op-inspct, Unmarried
30, Private,117747, HS-grad,9, Married-civ-spouse, Sales, Wife
34, Local-gov,226296, Bachelors,13, Married-civ-spouse, Protective-serv, Husband
29, Local-gov,115585, Some-college,10, Never-married, Handlers-cleaners, Not-in-family
48, Self-emp-not-inc,191277, Doctorate,16, Married-civ-spouse, Prof-specialty, Husband
37, Private,202683, Some-college,10, Married-civ-spouse, Sales, Husband
48, Private,171095, Assoc-acdm,12, Divorced, Exec-managerial, Unmarried
32, Federal-gov,249409, HS-grad,9, Never-married, Other-service, Own-child
